Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
Sicario,Denis Villeneuve,Taylor Sheridan,Jóhann Jóhannsson,Roger Deakins,Joe Walker,Emily Blunt,Benicio del Toro,Josh Brolin,Policier,2,1,3,1,30,84.9,183,2
Arrival,Denis Villeneuve,Eric Heisserer,Jóhann Jóhannsson,Bradford Young,Joe Walker,Amy Adams,Jeremy Renner,Forest Whitaker,SF,3,2,3,1,47,203.4,332.7659574,2
Love,Gaspar Noé,Gaspar Noé,Ken Yasumoto,Benoît Debie,Denis Bedlow,Karl Glusman,Aomi Muyock,Klara Kristin,Drame,2,2,3,1,2.5,0.9,-64,0
Climax,Gaspar Noé,Gaspar Noé,,Benoît Debie,,Sofia Boutella,Romain Guillermic,Souheila Yacoub,Horreur,0,2,2,0,2.6,1.8,-30.76923077,0
Mother!,Darren Aronofsky,Darren Aronofsky,Jóhann Jóhannsson,Matthew Libatique,Andrew Weisblum,Jennifer Lawrence,Javier Bardem,Ed Harris,Thriller,2,2,3,0,30,44.5,48.33333333,1
Noah,Darren Aronofsky,Darren Aronofsky,Clint Mansell,Matthew Libatique,Andrew Weisblum,Russell Crowe,Jennifer Connelly,Anthony Hopkins,Aventure,3,2,1,2,125,362.5,190,2
Galveston,Mélanie Laurent,Jim Hammett,Marc Chouarain,Arnaud Potier,Joseph Krings,Ben Foster,Elle Fanning,Lili Reinhart,Policier,2,1,1,0,5,0.3,-94,0
Respire,Mélanie Laurent,Mélanie Laurent,Marc Chouarain,Arnaud Potier,Guerric Catala,Joséphine Japy,Lou de Laâge,Isabelle Carré,Drame,1,2,2,0,3.8,1.1,-71.05263158,0
Knight of Cups,Terrence Malick,Terrence Malick,Hanan Townshend,Emmanuel Lubezki,Mark Yoshikawa,Christian Bale,Cate Blanchett,Natalie Portman,Drame,1,2,1,0,5,1.1,-78,0
Voyage of time,Terrence Malick,Terrence Malick,Hanan Townshend,Paul Atkins,Rehman Nizar Ali,Brad Pitt,Cate Blanchett,Aucun,Doculentaire,2,2,1,0,12,55.4,361.6666667,2
Phantom thread,Paul Thomas Anderson,Paul Thomas Anderson,Jonny Greenwood,Paul Thomas Anderson,Dylan Tichenor,Daniel Day-Lewis,Lesley Manville,Vicky Krieps,Drame,1,2,1,1,35,47.8,36.57142857,1
ihnerent vice,Paul Thomas Anderson,Paul Thomas Anderson,Jonny Greenwood,Robert Elswit,Leslie Jones,Joaquin Phoenix,Josh Brolin,Owen Wilson,Policier,2,1,2,0,20,14.7,-26.5,0
Wonder wheel,Woody Allen,Woody Allen,Aucun,Vittorio Storaro,Alisa Lepselter,James Belushi,Juno Temple,Justin Timberlake,Drame,1,1,1,0,25,15.9,-36.4,0
Café society,Woody Allen,Woody Allen,Vince Giordano,Vittorio Storaro,Alisa Lepselter,Jesse Eisenberg,Kristen Stewart,Blake Lively,Comédie,3,1,2,0,30,43.8,46,1
Irrationnal man,Woody Allen,Woody Allen,Aucun,Darius Khondji,Alisa Lepselter,Joaquin Phoenix,Emma Stone,Parker Posey,Comédie,3,0,1,0,11,27.4,149.0909091,2
Magic in the moonlight,Woody Allen,Woody Allen,Aucun,Darius Khondji,Alisa Lepselter,Colin Firth,Emma Stone,Marcia Gay Harden,Comédie,3,0,1,0,16.8,51,203.5714286,2
The house that jack built,Lars von Trier,Lars von Trier,Victor Reyes,Manuel Alberto Claro,Jacob Secher Schulsinger,Matt Dillon,Bruno Ganz,Uma Thurman,Thriller,3,2,2,0,8.7,2.8,-67.81609195,0
Don't worry he won't get far,Gus van Sant,Gus van Sant,Aucun,Christopher Blauvelt,Gus van Sant,Joaquin Phoenix,Jonah Hill,Rooney Mara,Biopic,2,1,1,0,7.5,3.9,-48,0
The sea of trees,Gus Van Sant,Gus Van Sant,Mason Bates,Kasper Tuxen,Pietro Scalia,Matthew McConaughey,Ken Watanabe,Naomi Watts,Drame,1,1,1,0,25,8.3,-66.8,0
The Sisters brothers,Jacques Audiard,Jacques Audiard,Alexandre Desplat,Benoît Debie,Juliette Welfling,Joaquin Phoenix,John C. Reilly,Jake Gyllenhaal,Western,0,1,2,1,35,9.9,-71.71428571,0
Silence,Martin Scorsese,Martin Scorsese,Kathryn Klug,Rodrigo Prieto,Thelma Schoonmaker,Andrew Garfield,Liam Neeson,Adam Driver,Historique,2,2,2,3,45,23.7,-47.33333333,0
Ready player one,Steven Spielberg,Ernest Cline,Alan Silvestri,Janusz Kamiński,Michael Kahn,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,SF,3,1,1,0,175,582.5,232.8571429,2
Pentagon papers,Steven Spielberg,Liz Hannah,John Williams,Janusz Kamiński,Michael Kahn,Meryl Streep,Tom Hanks,Sarah Paulson,Drame,1,0,1,2,50,179.8,259.6,2
